Date,Close,Open,High,Low,Volume,Change,range,target,ror,buy_signal,hpr,dd,money
2021-01-20,39277000,39466000,39466000,38339000,2070.0,-0.0048,563500.0,39852000.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-21,34389000,39252000,39252000,34389000,5030.0,-0.1244,2431500.0,39815500.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-22,36365000,34401000,36365000,34401000,2120.0,0.0575,982000.0,36832500.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-23,35479000,36365000,36365000,35379000,960.0,-0.024399999999999998,493000.0,37347000.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-24,35521000,35495000,35521000,35495000,1770.0,0.0012,13000.0,35988000.0,1.0,,1.1966890901652467,2.273307391698896,1196689.0901652467
2021-01-25,36061000,35545000,36372000,35545000,2870.0,0.0152,413500.0,35558000.0,1.0109459024692051,34478650.0,1.2097879322321574,1.2036005457704353,1209787.9322321573
2021-01-26,35950000,36021000,36060000,35950000,1820.0,-0.0031,55000.0,36434500.0,1.0,,1.2097879322321574,1.2036005457704353,1209787.9322321573
2021-01-27,34315000,35950000,35950000,34315000,2750.0,-0.0455,817500.0,36005000.0,1.0,,1.2097879322321574,1.2036005457704353,1209787.9322321573
2021-01-28,36613000,34315000,36613000,34315000,2250.0,0.067,1149000.0,35132500.0,1.0389404682274246,33285550.0,1.2568976407691654,0.0,1256897.6407691655
2021-01-29,37509000,36635000,40308000,36635000,2920.0,0.0245,1836500.0,37784000.0,0.9895217869997883,35535950.0,1.2437275995697226,1.047821300021169,1243727.5995697225
2021-01-30,36961000,37470000,37470000,36662000,2000.0,-0.0146,404000.0,39306500.0,1.0,,1.2437275995697226,1.047821300021169,1243727.5995697225
2021-01-31,36355000,36972000,36972000,36355000,1780.0,-0.016399999999999998,308500.0,37376000.0,1.0,,1.2437275995697226,1.047821300021169,1243727.5995697225
2021-02-01,36517000,36353000,37028000,36353000,1430.0,0.0045000000000000005,337500.0,36661500.0,0.9928585355209143,35262410.0,1.234845563095737,1.754484769335206,1234845.5630957368
2021-02-02,37878000,36527000,37878000,36527000,1840.0,0.0373,675500.0,36864500.0,1.024292574156709,35431190.0,1.2648431405093232,0.0,1264843.1405093232
2021-02-03,39353000,37902000,39353000,37902000,1700.0,0.038900000000000004,725500.0,38577500.0,1.0169023912902597,36764940.0,1.2862220141910128,0.0,1286222.0141910128
2021-02-04,39820000,39353000,39820000,39353000,1570.0,0.011899999999999999,233500.0,40078500.0,1.0,,1.2862220141910128,0.0,1286222.0141910128
2021-02-05,40482000,39808000,40482000,39808000,1170.0,0.0166,337000.0,40041500.0,1.0078010863728881,38613760.0,1.296255943218427,0.0,1296255.943218427
2021-02-06,41737000,40458000,43032000,40458000,2380.0,0.031,1287000.0,40795000.0,1.019891065081505,39244260.0,1.3220398545472725,0.0,1322039.8545472724
2021-02-07,42091000,41713000,42091000,41265000,1520.0,0.0085,413000.0,43000000.0,1.0,,1.3220398545472725,0.0,1322039.8545472724
2021-02-08,49150000,42098000,49150000,42098000,4720.0,0.1677,3526000.0,42511000.0,1.1529713438874643,40835060.0,1.5242740677701565,0.0,1524274.0677701565
2021-02-09,48649000,49158000,49748000,48649000,1670.0,-0.0102,549500.0,52684000.0,1.0,,1.5242740677701565,0.0,1524274.0677701565
2021-02-10,48580000,48645000,48645000,47970000,1810.0,-0.0014000000000000002,337500.0,49194500.0,1.0,,1.5242740677701565,0.0,1524274.0677701565
2021-02-11,51504000,48579000,51504000,48579000,2009.9999999999998,0.0602,1462500.0,48916500.0,1.0496962619974854,47121630.0,1.600024791198035,0.0,1600024.791198035
2021-02-12,50835000,51482000,51482000,50835000,1060.0,-0.013000000000000001,323500.0,52944500.0,1.0,,1.600024791198035,0.0,1600024.791198035
2021-02-13,50571000,50879000,51210000,50571000,1110.0,-0.0052,319500.0,51202500.0,0.9844666178409257,49053870.0,1.5751709946523629,1.5533382159074276,1575170.9946523628
2021-02-14,52636000,50611000,52636000,50611000,1000.0,0.0408,1012500.0,50930500.0,1.030286810457388,49092670.0,1.6228779000053741,0.0,1622877.900005374
2021-02-15,52498000,52631000,52631000,51795000,1040.0,-0.0026,418000.0,53643500.0,1.0,,1.6228779000053741,0.0,1622877.900005374
2021-02-16,54780000,52490000,54780000,52490000,1210.0,0.0435,1145000.0,52908000.0,1.0321821728283056,50915300.0,1.6751056370625848,0.0,1675105.6370625847
2021-02-17,57513000,54748000,57513000,54748000,1430.0,0.0499,1382500.0,55893000.0,1.0257839514787181,53105560.0,1.7182964795303337,0.0,1718296.4795303338
2021-02-18,57811000,57543000,57811000,57399000,750.0,0.0052,206000.0,58925500.0,1.0,,1.7182964795303337,0.0,1718296.4795303338
2021-02-19,63502000,57774000,63502000,57774000,2530.0,0.0984,2864000.0,57980000.0,1.0920397378406346,56040780.0,1.876448037038791,0.0,1876448.037038791
2021-02-20,64200000,63505000,64996000,63505000,2330.0,0.011000000000000001,745500.0,66369000.0,1.0,,1.876448037038791,0.0,1876448.037038791
2021-02-21,65418000,64218000,65418000,64218000,1040.0,0.019,600000.0,64963500.0,1.003796236348103,62291460.0,1.8835714772823242,0.0,1883571.477282324
2021-02-22,61723000,65418000,65418000,61723000,2880.0,-0.0565,1847500.0,66018000.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-23,55088000,61712000,61712000,54161000,3230.0,-0.1075,3775500.0,63559500.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-24,56500000,55099000,56595000,55099000,1590.0,0.0256,748000.0,58874500.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-25,53964000,56502000,56502000,53964000,4070.0000000000005,-0.0449,1269000.0,57250000.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-26,53588000,53958000,53958000,53364000,6490.0,-0.006999999999999999,297000.0,55227000.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-27,53409000,53591000,53591000,53409000,7760.0,-0.0033,91000.0,53888000.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-02-28,51790000,53396000,53396000,51790000,4490.0,-0.030299999999999997,803000.0,53487000.0,1.0,,1.8835714772823242,0.0,1883571.477282324
2021-03-01,56355000,51795000,56355000,51795000,3220.0,0.08810000000000001,2280000.0,52598000.0,1.0682285714285713,50241150.0,2.0120848683609007,0.0,2012084.8683609008
2021-03-02,55963000,56376000,56376000,55776000,5890.0,-0.006999999999999999,300000.0,58656000.0,1.0,,2.0120848683609007,0.0,2012084.8683609008
2021-03-03,57841000,55927000,57841000,55927000,1540.0,0.0336,957000.0,56227000.0,1.0255050705177227,54249190.0,2.063403234816088,0.0,2063403.234816088
2021-03-04,56351000,57782000,57782000,55914000,1920.0,-0.0258,934000.0,58739000.0,1.0,,2.063403234816088,0.0,2063403.234816088
2021-03-05,56506000,56325000,56506000,56325000,6090.0,0.0028000000000000004,90500.0,57259000.0,1.0,,2.063403234816088,0.0,2063403.234816088
2021-03-06,56086000,56533000,56533000,56086000,4160.0,-0.0074,223500.0,56623500.0,1.0,,2.063403234816088,0.0,2063403.234816088
2021-03-07,58016000,56073000,58016000,56073000,1150.0,0.0344,971500.0,56296500.0,1.0273436394802518,54390810.0,2.1198241889712843,0.0,2119824.1889712843
2021-03-08,59777000,58016000,59777000,58016000,4550.0,0.0304,880500.0,58987500.0,1.0101841915660097,56275520.0,2.141412884598029,0.0,2141412.884598029
2021-03-09,62916000,59796000,62916000,59579000,1320.0,0.0525,1668500.0,60676500.0,1.0337088526859657,57791630.0,2.2135974560647727,0.0,2213597.456064773
2021-03-10,64151000,62950000,64237000,62950000,2100.0,0.0196,643500.0,64618500.0,1.0,,2.2135974560647727,0.0,2213597.456064773
2021-03-11,66103000,64206000,66103000,64206000,1740.0,0.0304,948500.0,64849500.0,1.016129370311259,62279820.0,2.249301389153702,0.0,2249301.389153702
2021-03-12,66465000,66103000,66684000,66103000,1240.0,0.0055000000000000005,290500.0,67051500.0,1.0,,2.249301389153702,0.0,2249301.389153702
2021-03-13,70604000,66447000,70604000,66447000,1550.0,0.0623,2078500.0,66737500.0,1.0547359430604981,64453590.0,2.3724190219163184,0.0,2372419.021916318
2021-03-14,68550000,70588000,70815000,68550000,780.0,-0.0291,1132500.0,72666500.0,1.0,,2.3724190219163184,0.0,2372419.021916318
2021-03-15,64429000,68567000,68567000,63839000,1310.0,-0.0601,2364000.0,69699500.0,1.0,,2.3724190219163184,0.0,2372419.021916318
2021-03-16,65997000,64432000,65997000,63078000,980.0,0.024300000000000002,1459500.0,66796000.0,1.0,,2.3724190219163184,0.0,2372419.021916318
2021-03-17,68346000,65998000,68346000,63726000,2170.0,0.0356,2310000.0,67457500.0,1.0099712559759848,61814220.0,2.3960750192661413,0.0,2396075.019266141
2021-03-18,66900000,68342000,68342000,66900000,1630.0,-0.0212,721000.0,70652000.0,1.0,,2.3960750192661413,0.0,2396075.019266141
2021-03-19,67726000,66905000,67726000,66905000,850.0,0.0123,410500.0,67626000.0,0.9982787212019045,64897850.0,2.391950706136832,0.17212787980955374,2391950.706136832
2021-03-20,67473000,67729000,68476000,67473000,1150.0,-0.0037,501500.0,68139500.0,0.987018595675049,65448810.0,2.360899826895118,1.4680338507012431,2360899.826895118
2021-03-21,67097000,67470000,67470000,67097000,800.0,-0.005600000000000001,186500.0,67971500.0,1.0,,2.360899826895118,1.4680338507012431,2360899.826895118
2021-03-22,64453000,67103000,67306000,64453000,1740.0,-0.0394,1426500.0,67289500.0,0.954646320748408,62519410.0,2.2538243334009778,5.93682103946526,2253824.333400978
2021-03-23,65314000,64452000,65654000,64452000,1090.0,0.0134,601000.0,65878500.0,1.0,,2.2538243334009778,5.93682103946526,2253824.333400978
2021-03-24,64700000,65347000,66358000,64700000,1720.0,-0.009399999999999999,829000.0,65948000.0,0.9778759992721539,62759000.0,2.203960722208377,8.017874879251659,2203960.722208377
2021-03-25,63066000,64700000,64700000,63066000,1110.0,-0.0253,817000.0,65529000.0,1.0,,2.203960722208377,8.017874879251659,2203960.722208377
2021-03-26,65601000,63146000,65601000,63146000,790.0,0.04019999999999999,1227500.0,63963000.0,1.022408554945828,61251620.0,2.25334829715043,5.956688374449354,2253348.29715043
2021-03-27,66510000,65601000,66510000,65601000,920.0,0.0139,454500.0,66828500.0,1.0,,2.25334829715043,5.956688374449354,2253348.29715043
2021-03-28,67035000,66428000,67035000,66428000,680.0,0.0079,303500.0,66882500.0,0.9990801181175942,64435160.0,2.2512754828771313,6.0431971129751405,2251275.482877131
2021-03-29,68391000,67025000,68391000,66877000,1080.0,0.0202,757000.0,67328500.0,1.0125808357530615,64870690.0,2.2795984099621025,4.861142007970716,2279598.4099621023
2021-03-30,70470000,68407000,70470000,68407000,650.0,0.0304,1031500.0,69164000.0,1.0156826557168468,66354790.0,2.3153485669982095,3.3691120527877447,2315348.5669982093
2021-03-31,70974000,70455000,70974000,70455000,1150.0,0.0072,259500.0,71486500.0,1.0,,2.3153485669982095,3.3691120527877447,2315348.5669982093
2021-04-01,72314000,71001000,72402000,71001000,1140.0,0.0189,700500.0,71260500.0,1.011583786249044,68870970.0,2.342169069890347,2.2497605017519176,2342169.069890347
2021-04-02,73697000,72292000,73697000,72292000,860.0,0.0191,702500.0,72992500.0,1.0064516765421103,70123240.0,2.357279987136215,1.619107574595396,2357279.987136215
2021-04-03,72076000,73697000,74672000,72076000,1770.0,-0.022000000000000002,1298000.0,74399500.0,0.9655699514109638,69913720.0,2.2761187226411526,5.006366481034822,2276118.7226411523
2021-04-04,73924000,72076000,74121000,72076000,810.0,0.0256,1022500.0,73374000.0,1.0042958432142175,69913720.0,2.285896571810564,4.598288725088512,2285896.571810564
2021-04-05,78300000,73924000,78300000,73924000,1710.0,0.0592,2188000.0,74946500.0,1.041545251612817,71706280.0,2.3808647200473096,0.6348006258789926,2380864.7200473095
2021-04-06,77792000,78300000,78300000,77792000,1340.0,-0.006500000000000001,254000.0,80488000.0,1.0,,2.3808647200473096,0.6348006258789926,2380864.7200473095
2021-04-07,72914000,77793000,78550000,72914000,1290.0,-0.06269999999999999,2818000.0,78047000.0,0.9310319371660666,70726580.0,2.2166610924359915,7.4878259398196905,2216661.0924359914
2021-04-08,75183000,72980000,75183000,72391000,970.0,0.0311,1396000.0,75798000.0,1.0,,2.2166610924359915,7.4878259398196905,2216661.0924359914
2021-04-09,75642000,75132000,75642000,75132000,700.0,0.0060999999999999995,255000.0,76528000.0,1.0,,2.2166610924359915,7.4878259398196905,2216661.0924359914
2021-04-10,78303000,75655000,78303000,75655000,1100.0,0.0352,1324000.0,75910000.0,1.0283241733631932,73385350.0,2.2794461855055936,4.867495083533244,2279446.1855055937
2021-04-11,78534000,78310000,78757000,78310000,560.0,0.003,223500.0,79634000.0,1.0,,2.2794461855055936,4.867495083533244,2279446.1855055937
2021-04-12,77974000,78500000,78500000,77949000,630.0,-0.0070999999999999995,275500.0,78723500.0,1.0,,2.2794461855055936,4.867495083533244,2279446.1855055937
2021-04-13,80661000,78009000,80661000,78009000,1390.0,0.0345,1326000.0,78284500.0,1.0271572226941474,75668730.0,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-14,80171000,80663000,80663000,80146000,1160.0,-0.0060999999999999995,258500.0,81989000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-15,79425000,80171000,80171000,79425000,930.0,-0.009300000000000001,373000.0,80429500.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-16,79213000,79425000,79524000,79110000,1160.0,-0.0027,207000.0,79798000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-17,77959000,79250000,79250000,77646000,1050.0,-0.0158,802000.0,79457000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-18,75783000,77956000,77956000,72986000,1630.0,-0.0279,2485000.0,78758000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-19,71001000,75810000,75810000,71001000,1850.0,-0.06309999999999999,2404500.0,78295000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-20,70289000,71001000,71001000,69713000,1280.0,-0.01,644000.0,73405500.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-21,67805000,70299000,70299000,67805000,1240.0,-0.0353,1247000.0,70943000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-22,59500000,67884000,67884000,59500000,3460.0,-0.1225,4192000.0,69131000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-23,61380000,59500000,61380000,57124000,2280.0,0.0316,2128000.0,63692000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-24,60813000,61355000,61355000,60398000,1270.0,-0.0092,478500.0,63483000.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-25,59696000,60814000,60923000,59696000,1810.0,-0.0184,613500.0,61292500.0,1.0,,2.341349613184694,2.2839604620646865,2341349.6131846937
2021-04-26,64196000,59700000,64196000,59700000,1480.0,0.0754,2248000.0,60313500.0,1.0611719896872176,57909000.0,2.484574627576599,0.0,2484574.627576599
2021-04-27,64738000,64199000,64738000,64146000,880.0,0.0084,296000.0,66447000.0,1.0,,2.484574627576599,0.0,2484574.627576599
2021-04-28,64116000,64767000,64767000,64064000,910.0,-0.0096,351500.0,65063000.0,1.0,,2.484574627576599,0.0,2484574.627576599
2021-04-29,63710000,64100000,64100000,63710000,920.0,-0.0063,195000.0,64451500.0,1.0,,2.484574627576599,0.0,2484574.627576599
2021-04-30,68075000,63712000,68075000,63712000,1180.0,0.06849999999999999,2181500.0,63907000.0,1.0620197724818876,61800640.0,2.63866738069317,0.0,2638667.3806931702
2021-05-01,68898000,68054000,68898000,68054000,670.0,0.0121,422000.0,70235500.0,1.0,,2.63866738069317,0.0,2638667.3806931702
2021-05-02,68340000,68894000,68894000,68340000,570.0,-0.008100000000000001,277000.0,69316000.0,1.0,,2.63866738069317,0.0,2638667.3806931702
2021-05-03,69876000,68334000,69876000,68334000,1120.0,0.0225,771000.0,68611000.0,1.0152372768215008,66283980.0,2.6788734860126566,0.0,2678873.4860126567
2021-05-04,66679000,69876000,70106000,66679000,1180.0,-0.0458,1713500.0,70647000.0,1.0,,2.6788734860126566,0.0,2678873.4860126567
2021-05-05,68620000,66499000,68620000,66499000,1610.0,0.0291,1060500.0,68212500.0,1.0027739783763971,64504030.0,2.6863046231359595,0.0,2686304.6231359597
2021-05-06,68398000,68629000,69394000,68398000,2200.0,-0.0032,498000.0,69689500.0,1.0,,2.6863046231359595,0.0,2686304.6231359597
2021-05-07,68647000,68398000,69122000,68398000,2000.0,0.0036,362000.0,68896000.0,0.9931858569437994,66346060.0,2.6679997591413778,0.6814143056200707,2667999.7591413776
